objectId,yearsLivedinthecommunity,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,clinicAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess,stoveType
neoEkosSeM,moreThan10,5-10,1AMonth,bottled,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Water,Unknown,street,4,0,,,
DQN82bQNPI,1-2,lessThan1,2-3AWeek,bottled,Y,Y,cementWorking,poor,Clinic,Other Hospital,Other,1,outside house,4,0,,,
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,
eLmW6jI7S6,moreThan10,5-10,2-3AWeek,bottled,Y,Y,dirtWorking,working,Other Hospital,Other,Water,Unknown,outside house,4,0,,,
0VpSqZMHAo,1-2,,,,,,,,Other,Other,Other,0,other,4,0,,,
UZ6q1Bjktz,moreThan10,3-4,1AWeek,bottled,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Water,1,street,4,0,,,
Gl5VvFzJaD,moreThan10,1-2,2-3AWeek,bottled,Y,Y,,,Clinic,Other Hospital,Water,Unknown,outside house,4,0,,,
OCdBbUeEwN,moreThan10,lessThan1,Never,bottled,Y,Y,dirtWorking,working,Clinic,Clinic,Water,Unknown,outside house,4,0,,,
nYGqujwrX6,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementWorking,working,Clinic,Other,Other,2,other,4,0,,,
0FfwWMlQ8z,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementWorking,working,Other,Other,Other,2,other,4,0,,,
DFwdvyWcGG,5-10,5-10,everyday,bottled,Y,N,cementPoor,poor,Other Hospital,Other Hospital,Roads,1,outside house,4,0,,,
qe7QtNWbPu,1-2,1-2,everyday,bottled,Y,Y,cementPoor,poor,Other Hospital,Dentist,Roads,1,outside house,4,0,,,
8SbJkpm1HS,3-4,lessThan1,1AWeek,bottled,Y,Y,cementWorking,working,Clinic,Dentist,Roads,1,other,4,0,,,
Or5K0WKPm3,1-2,1-2,everyday,bottled,Y,Y,cementPoor,poor,Other,Dentist,Delinquents,1,outside house,4,0,,,
0R4Dn7PLkT,moreThan10,5-10,everyday,tap,Y,Y,cementPoor,poor,Clinic,Other,Roads,1,other,4,0,,,
94Syqn5HDk,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementPoor,working,Clinic,Clinic,Garbage,2,other,4,0,,,
94Syqn5HDk,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementPoor,working,Clinic,Clinic,Garbage,2,other,4,0,,,
bpoy1ufQmf,5-10,5-10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Roads,1,other,4,0,,,
5r6hMiNrIG,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementWorking,working,Clinic,Clinic,Water,2,other,4,0,,,
podEmwBg6G,moreThan10,moreThan10,1AWeek,tap,Y,Y,dirtWorking,working,Other,Dentist,Roads,Unknown,outside house,4,0,,,
5r6hMiNrIG,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementWorking,working,Clinic,Clinic,Water,2,other,4,0,,,
5r6hMiNrIG,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementWorking,working,Clinic,Clinic,Water,2,other,4,0,,,
5Tv47EWCwt,5-10,lessThan1,2-3AWeek,bottled,Y,Y,cementWorking,working,Other,Dentist,Other,1,other,4,0,,,
5Tv47EWCwt,5-10,lessThan1,2-3AWeek,bottled,Y,Y,cementWorking,working,Other,Dentist,Other,1,other,4,0,,,
4UPAxCvTvX,5-10,5-10,everyday,bottled,Y,Y,dirtPoor,poor,Clinic,Other Hospital,Roads,1,other,4,0,,,
PXysyewzgq,moreThan10,lessThan1,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Other Hospital,Roads,Unknown,outside house,4,0,,,
keG3GZFJkj,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other,Other,2,other,4,0,,,
keG3GZFJkj,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementPoor,poor,Other Hospital,Other,Other,2,other,4,0,,,
uUHbPLGrg1,moreThan10,moreThan10,everyday,bottled,Y,Y,cementWorking,working,Other Hospital,Dentist,Delinquents,1,other,4,0,,,
IBF2UwJoY7,1-2,lessThan1,everyday,tap,Y,Y,cementWorking,working,Other,Dentist,Water,1,other,4,0,,,
YF34QH25ez,moreThan10,moreThan10,everyday,bottled,Y,Y,cementPoor,poor,Other Hospital,Other,Roads,1,other,4,0,,,
fKFtPmH62L,moreThan10,1-2,everyday,bottled,Y,Y,cementPoor,working,Clinic,Other,Other,1,street,4,0,,,
zPTiefSghK,moreThan10,moreThan10,everyday,bottled,Y,N,cementWorking,working,Other,Dentist,Delinquents,1,outside house,4,0,,,
dSwjnmLhTM,1-2,1-2,everyday,tap,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1,outside house,4,0,,,
Vbq0GTl5e0,moreThan10,moreThan10,1AMonth,tap,Y,Y,cementWorking,working,Other,Dentist,Roads,1,other,4,0,,,
EgeOrfRAzO,moreThan10,moreThan10,everyday,bottled,Y,Y,dirtWorking,working,Other Hospital,Dentist,Delinquents,Unknown,street,4,0,,,
yiyJX4Ez4E,moreThan10,1-2,everyday,bottled,Y,Y,dirtPoor,poor,Clinic,Other,Other,2,street,4,0,,,
cx89qDZowO,5-10,lessThan1,2-3AWeek,bottled,Y,Y,cementWorking,working,Clinic,Other,Water,2,other,4,0,,,
ctAgZpcOZ7,moreThan10,moreThan10,Never,bottled,Y,Y,dirtPoor,poor,Other Hospital,Other,Delinquents,2,street,4,0,,,
v1WRHN7pC1,1-2,1-2,2-3AWeek,bottled,Y,Y,cementWorking,working,Clinic,Dentist,Water,2,outside house,4,0,,,
YgcTHgsuIr,3-4,3-4,2-3AWeek,bottled,Y,Y,cementWorking,working,Other,Dentist,Water,2,outside house,4,0,,,
chqazonkeq,moreThan10,5-10,1AWeek,tap,Y,Y,cementWorking,working,Clinic,Dentist,Water,Unknown,outside house,4,0,,,
G3MvaEZWGb,moreThan10,moreThan10,1AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,Unknown,street,4,0,,,
HYYhzdpTkN,moreThan10,moreThan10,1AWeek,tap,Y,Y,cementPoor,working,Clinic,Dentist,Water,1,other,4,0,,,
fxoTnUUTfS,5-10,1-2,4-6AWeek,bottled,Y,Y,dirtPoor,poor,Other Hospital,Other Hospital,Water,Unknown,street,4,0,,,
6NTez2OazB,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Clinic,Clinic,Water,Unknown,outside house,4,0,,,
EcZgpHXlpN,moreThan10,moreThan10,1AMonth,tap,Y,Y,cementPoor,working,Other Hospital,Other,Water,1,other,4,0,,,
37HmEJqGDb,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Other,Dentist,Water,Unknown,outside house,4,0,,,
37HmEJqGDb,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Other,Dentist,Water,Unknown,outside house,4,0,,,
KD4ggf7ErJ,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Other,Dentist,Water,Unknown,street,4,0,,,
KD4ggf7ErJ,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Other,Dentist,Water,Unknown,street,4,0,,,
51C0mdJ9Zk,5-10,moreThan10,1AMonth,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1,street,4,0,,,
R4SSTHwDXI,5-10,5-10,1AMonth,bottled,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,Unknown,other,4,0,,,
R4SSTHwDXI,5-10,5-10,1AMonth,bottled,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,Unknown,other,4,0,,,
NUs2IAEypI,5-10,moreThan10,1AMonth,bottled,Y,Y,cementPoor,poor,Other,Dentist,Water,1,street,4,0,,,
YZmxsG08CL,moreThan10,5-10,Never,bottled,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Water,1,street,4,0,,,
UnqsTjlLKx,moreThan10,moreThan10,Never,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1,street,4,0,,,
4UN56rfOMW,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1,street,4,0,,,
YY5pwmiFEh,moreThan10,1-2,Never,tap,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Other,1,outside house,4,0,,,
8WdGLnzSA1,moreThan10,moreThan10,,,,,,,Other,Other,Water,0,other,4,0,,,
8WdGLnzSA1,moreThan10,moreThan10,Never,tap,Y,Y,cementWorking,working,Other Hospital,Other,Water,1,outside house,4,0,,,
2xoBEEBRNY,moreThan10,1-2,everyday,bottled,Y,Y,cementWorking,working,Other Hospital,Other,Other,2,street,4,0,,,
wz9GWenAFh,moreThan10,1-2,Never,bottled,Y,Y,dirtPoor,working,Other Hospital,Other,Water,1,outside house,4,0,,,
v9o66WwNVu,moreThan10,moreThan10,everyday,bottled,Y,Y,cementWorking,working,Clinic,Other,Other,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
hedb8FBtgj,moreThan10,3-4,everyday,bottled,Y,Y,cementPoor,working,Other Hospital,Other,Delinquents,2,street,4,0,,,
C2fzmVTTgC,1-2,1-2,2-3AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Water,2,outside house,4,0,,,
fiO9irTd3F,1-2,moreThan10,,tap,,,,,Other,Other,Other,0,other,4,0,,,
Fw263aKd5O,5-10,5-10,2-3AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Delinquents,2,outside house,4,0,,,
EtIFTBgZPA,1-2,1-2,2-3AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Water,2,outside house,4,0,,,
ijUdAzhpCe,lessThan1,lessThan1,2-3AWeek,bottled,Y,Y,cementWorking,working,Other,Dentist,Other,2,outside house,4,0,,,
gd910u1tKZ,1-2,1-2,2-3AWeek,bottled,Y,Y,cementWorking,working,Clinic,Dentist,Water,2,outside house,4,0,,,
DDiPRcC73G,lessThan1,lessThan1,2-3AWeek,bottled,Y,Y,cementWorking,working,Clinic,Dentist,Other,2,outside house,4,0,,,
X4gm8UiH9J,5-10,5-10,4-6AWeek,bottled,Y,Y,cementWorking,working,Clinic,Other,Water,2,other,4,0,,,
X4gm8UiH9J,5-10,5-10,4-6AWeek,bottled,Y,Y,cementWorking,working,Other,Other,Water,3,other,4,0,,,
ZaBuUzMf4e,1-2,1-2,everyday,bottled,Y,Y,cementWorking,working,Other,Other,Garbage,1,other,4,0,,,
mkgfUj0Kfs,3-4,3-4,4-6AWeek,bottled,Y,Y,cementWorking,working,Other,Other,Garbage,3,other,4,0,,,
mkgfUj0Kfs,3-4,3-4,4-6AWeek,bottled,Y,Y,cementWorking,working,Other,Other,Garbage,3,other,4,0,,,
s6g6lAatce,3-4,3-4,4-6AWeek,bottled,Y,Y,cementWorking,working,Other,Other,Garbage,3,other,4,0,,,
QQx1cvmHjY,,,,,,,,,Other,Other,Other,0,other,11,3,,,
FoatG2gGXl,3-4,1-2,everyday,tap,Y,N,dirtPoor,working,Other,Other,Other,3,other,8,1,owned,,
tFt6s0F1wM,moreThan10,moreThan10,everyday,tap,Y,Y,dirtPoor,poor,Clinic,Other Hospital,Roads,Unknown,street,5,0,owned,,
tFt6s0F1wM,moreThan10,moreThan10,everyday,tap,Y,Y,dirtPoor,poor,Clinic,Other Hospital,Roads,Unknown,street,5,0,owned,,
UKZTtutBjC,moreThan10,5-10,2-3AWeek,tap,Y,Y,cementWorking,working,Clinic,Clinic,Roads,1,outside house,2,0,owned,,
4ugIyaG340,moreThan10,moreThan10,1AMonth,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1,outside house,8,1,owned,,
4ugIyaG340,moreThan10,moreThan10,1AMonth,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1,outside house,8,1,owned,,
JdM7v7vcxi,3-4,3-4,everyday,tap,Y,Y,cementWorking,poor,Clinic,Other Hospital,Water,1,outside house,7,3,owned,,
YDAoFcHA1Y,moreThan10,moreThan10,1AMonth,tap,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Roads,1,outside house,3,0,owned,,
830aOQCTgZ,moreThan10,moreThan10,1AWeek,tap,Y,Y,dirtWorking,working,Other,Other Hospital,Other,0,street,2,0,owned,,
DcNcrFI6Aa,moreThan10,3-4,1AWeek,tap,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Other,1,outside house,1,0,owned,,
0ABojeui4H,3-4,lessThan1,4-6AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Clinic,Delinquents,2,sidewalk,4,0,,,
44vEJP3Of3,3-4,lessThan1,4-6AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other,Delinquents,2,sidewalk,5,1,owned,,
L8WZCfSfGp,moreThan10,moreThan10,4-6AWeek,tap,Y,N,cementWorking,working,Other Hospital,Other,Delinquents,2,sidewalk,4,0,,,
L8WZCfSfGp,moreThan10,moreThan10,4-6AWeek,tap,Y,N,cementWorking,working,Other Hospital,Other,Delinquents,2,sidewalk,4,0,,,
L8WZCfSfGp,moreThan10,moreThan10,4-6AWeek,tap,Y,N,cementWorking,working,Other Hospital,Other,Delinquents,2,sidewalk,4,0,,,
L8WZCfSfGp,moreThan10,moreThan10,4-6AWeek,tap,Y,N,cementWorking,working,Other Hospital,Other,Delinquents,2,sidewalk,4,0,,,
L8WZCfSfGp,moreThan10,moreThan10,4-6AWeek,tap,Y,N,cementWorking,working,Other Hospital,Other,Delinquents,2,sidewalk,4,0,,,
L8WZCfSfGp,moreThan10,moreThan10,4-6AWeek,tap,Y,N,cementWorking,working,Other Hospital,Other,Delinquents,2,sidewalk,4,0,,,
wtKCes5yFM,moreThan10,moreThan10,1AWeek,bottled,Y,Y,cementWorking,working,Other,Other,Lighting,2,sidewalk,4,1,rented,,
2H4TYUo6aK,moreThan10,lessThan1,4-6AWeek,tap,Y,Y,cementWorking,working,Other Hospital,Other,Garbage,2,street,4,0,,,
2H4TYUo6aK,moreThan10,lessThan1,4-6AWeek,tap,Y,Y,cementWorking,working,Other Hospital,Other,Garbage,2,street,4,0,,,
2H4TYUo6aK,moreThan10,lessThan1,4-6AWeek,tap,Y,Y,cementWorking,working,Other Hospital,Other,Garbage,2,street,4,0,,,
2H4TYUo6aK,moreThan10,lessThan1,4-6AWeek,tap,Y,Y,cementWorking,working,Other Hospital,Other,Garbage,2,street,4,0,,,
2H4TYUo6aK,moreThan10,lessThan1,4-6AWeek,tap,Y,Y,cementWorking,working,Other Hospital,Other,Garbage,2,street,4,0,,,
2H4TYUo6aK,moreThan10,lessThan1,4-6AWeek,tap,Y,Y,cementWorking,working,Other Hospital,Other,Garbage,2,street,4,0,,,
2H4TYUo6aK,moreThan10,lessThan1,4-6AWeek,tap,Y,Y,cementWorking,working,Other Hospital,Other,Garbage,2,street,4,0,,,
9VdOKGWkR2,lessThan1,lessThan1,everyday,bottled,Y,N,cementWorking,working,Other,Other,Other,2,sidewalk,1,2,rented,,
waLKHu6hTv,5-10,5-10,Never,tap,Y,Y,cementWorking,working,Other Hospital,Other,Water,1,outside house,4,0,owned,,
40AWZJpsVF,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other,Other,2,sidewalk,4,0,,,
40AWZJpsVF,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other,Other,2,sidewalk,4,0,,,
